"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 27 21:18:25 SAMT 2025","Sun Apr 27 21:18:25 SAMT 2025","178","","tests.UserCreationTest","","tests.UserCreationTest","testCreateUserWithoutName","Создание пользователя без имения","Проверка ошибки при попытке создать пользователя без указания имени"
"passed","Sun Apr 27 21:18:26 SAMT 2025","Sun Apr 27 21:18:26 SAMT 2025","204","","tests.UserCreationTest","","tests.UserCreationTest","testCreateUserWithoutPassword","Создание пользователя без пароля","Проверка ошибки при попытке создать пользователя без указания пароля"
"passed","Sun Apr 27 21:18:15 SAMT 2025","Sun Apr 27 21:18:16 SAMT 2025","1174","","tests.OrderCreationTest","","tests.OrderCreationTest","testCreateOrderWithoutIngredients","Создание заказа без ингредиентов","Проверка ошибки при создании заказа без ингредиентов"
"passed","Sun Apr 27 21:18:32 SAMT 2025","Sun Apr 27 21:18:33 SAMT 2025","1152","","tests.UserUpdateTest","","tests.UserUpdateTest","testUpdateUserEmail","Успешное обновление email пользователя","Проверка изменения email авторизованного пользователя"
"passed","Sun Apr 27 21:18:25 SAMT 2025","Sun Apr 27 21:18:26 SAMT 2025","1021","","tests.UserCreationTest","","tests.UserCreationTest","testCreateUniqueUser","Создание уникального пользователя","Проверка создания пользователя с уникальными данными"
"passed","Sun Apr 27 21:18:23 SAMT 2025","Sun Apr 27 21:18:25 SAMT 2025","1153","","tests.UserCreationTest","","tests.UserCreationTest","testCreateDuplicateUser","Создание уже зарегистрированного пользователя","Проверка ошибки при попытке создания пользователя, который уже существует"
"passed","Sun Apr 27 21:18:26 SAMT 2025","Sun Apr 27 21:18:28 SAMT 2025","1410","","tests.UserLoginTest","","tests.UserLoginTest","testLoginWithWrongPassword","Логин с неверным паролем","Проверка ошибки при вводе неверного пароля"
"passed","Sun Apr 27 21:18:25 SAMT 2025","Sun Apr 27 21:18:25 SAMT 2025","256","","tests.UserCreationTest","","tests.UserCreationTest","testCreateUserWithoutEmail","Создание пользователя без email","Проверка ошибки при попытке создать пользователя без указания email"
"passed","Sun Apr 27 21:18:21 SAMT 2025","Sun Apr 27 21:18:22 SAMT 2025","1079","","tests.OrderRetrievalTest","","tests.OrderRetrievalTest","testGetOrdersWithoutAuthorization","Получение заказов неавторизованного пользователя","Проверка ошибки при попытке получить заказы без авторизации"
"failed","Sun Apr 27 21:18:10 SAMT 2025","Sun Apr 27 21:18:15 SAMT 2025","4840","","tests.OrderCreationTest","","tests.OrderCreationTest","testCreateOrderWithoutAuthorization","Создание заказа без авторизации","Проверка ошибки при создании заказа без токена авторизации"
"passed","Sun Apr 27 21:18:28 SAMT 2025","Sun Apr 27 21:18:29 SAMT 2025","1248","","tests.UserLoginTest","","tests.UserLoginTest","testLoginExistingUser","Логин под существующим пользователем","Проверка успешного входа в систему для существующего пользователя"
"passed","Sun Apr 27 21:18:31 SAMT 2025","Sun Apr 27 21:18:32 SAMT 2025","1206","","tests.UserUpdateTest","","tests.UserUpdateTest","testUpdateUserName","Успешное обновление имени пользователя","Проверка изменения имени пользователя"
"passed","Sun Apr 27 21:18:16 SAMT 2025","Sun Apr 27 21:18:20 SAMT 2025","3810","","tests.OrderCreationTest","","tests.OrderCreationTest","testCreateOrderAuthorized","Создание заказа с авторизацией","Проверка успешного создания заказа с авторизацией"
"passed","Sun Apr 27 21:18:33 SAMT 2025","Sun Apr 27 21:18:35 SAMT 2025","1133","","tests.UserUpdateTest","","tests.UserUpdateTest","testUpdateUserWithInvalidToken","Попытка обновления с неверным токеном","Проверка ошибки при обновлении с невалидным токеном"
"passed","Sun Apr 27 21:18:29 SAMT 2025","Sun Apr 27 21:18:30 SAMT 2025","1126","","tests.UserLoginTest","","tests.UserLoginTest","testLoginWithWrongEmail","Логин с неверным email","Проверка ошибки при вводе неверного email"
"passed","Sun Apr 27 21:18:30 SAMT 2025","Sun Apr 27 21:18:31 SAMT 2025","1071","","tests.UserUpdateTest","","tests.UserUpdateTest","testUpdateUserWithoutAuthorization","Попытка обновления без авторизации","Проверка ошибки при обновлении данных без токена авторизации"
"passed","Sun Apr 27 21:18:22 SAMT 2025","Sun Apr 27 21:18:23 SAMT 2025","1475","","tests.OrderRetrievalTest","","tests.OrderRetrievalTest","testGetOrdersWithAuthorization","Получение заказов авторизованного пользователя","Проверка успешного получения заказов для авторизованного пользователя"
"passed","Sun Apr 27 21:18:35 SAMT 2025","Sun Apr 27 21:18:37 SAMT 2025","2369","","tests.UserUpdateTest","","tests.UserUpdateTest","testUpdateUserPassword","Успешное обновление пароля пользователя","Проверка изменения пароля пользователя"
"passed","Sun Apr 27 21:18:20 SAMT 2025","Sun Apr 27 21:18:21 SAMT 2025","1147","","tests.OrderCreationTest","","tests.OrderCreationTest","testCreateOrderWithInvalidIngredients","Создание заказа с неверными ингредиентами","Проверка ошибки при создании заказа с неверными идентификаторами ингредиентов"
